회사명,공장대표주소,업종명,생산품
주식회사 굿프린팅,서울특별시 성동구 성수동1가 656-1748번지,경 인쇄업 외 6 종,인쇄물
주식회사 금별엔지니어링,"서울특별시 성동구 동일로 91 (성수동2가, A동)",그 외 자동차용 신품 부품 제조업 외 4 종,기타 자동차 부품 제조
주식회사 기드온소닉,"서울특별시 성동구 성수일로8길 5, 서울숲SK-V1 A동 5층 502호 (성수동2가)",유선 통신장비 제조업 외 1 종,"초음파세척기, 유선통신장비, 전기장비 "
주식회사 긱블,"서울특별시 성동구 성수이로7가길 8, 1층(성수동2가, 태창실업)",전시용 모형 제조업,교구
주식회사 니온밸리코리아,서울특별시 성동구 성수일로6길 3 (성수동2가) 지시코별관2층,자수제품 및 자수용재료 제조업,자수복생산
주식회사 다인정보기술,"서울특별시 성동구 성수일로 55, 102호(성수동1가, SK테크노빌딩) 102호",방송장비 제조업 외 2 종,"영상감시장치 ,CCTV, 차량번호판독기, 전원공급장치"
주식회사 대아티앤피,"서울특별시 성동구 성수일로 99, B101호 (성수동1가, 서울숲AK밸리 지식산업센터) B101호",경 인쇄업,"리플릿, 바코드"
주식회사 대일씨앤에이,"서울특별시 성동구 왕십리로 58, 212호 (성수동1가)",기타 인쇄업 외 1 종,인쇄제본물
주식회사 대진특수인쇄,"서울특별시 성동구 왕십리로 58, 지하 201호~204호 (성수동1가)",그 외 기타 종이 및 판지 제품 제조업 외 2 종,스티커인쇄
주식회사 더에스엘,"서울특별시 성동구 뚝섬로17가길 48, 3층 304호(성수동2가, 성수에이원 지식산업센터) 3층 304호","탭, 밸브 및 유사장치 제조업 외 1 종",스마트 수전
주식회사 동진문화사,"서울특별시 성동구 성수이로18길 31, 4층 405호, 406호 (성수동2가, 풍림테크원)",경 인쇄업,인쇄물
주식회사 두리텍,"서울특별시 성동구 성수일로 77, 1601호(성수동1가, 서울숲 IT 밸리) 1601호","전자기 측정, 시험 및 분석기구 제조업 외 2 종","자동차 운행기록계, OBO 모듈, 택시미터, 냉장.냉동차량 온도장치"
주식회사 디스트랩,"서울특별시 성동구 광나루로 144, B1층 B103호 (성수동1가, 더 스페이스 타워) B1층 B103호",일반용 전기 조명장치 제조업 외 3 종,"조명기구, 조명제어장치, 조명기구, 조명기구"
주식회사 디엠패션,"서울특별시 성동구 아차산로15길 34, 2층 (성수동2가, 오복빌딩)",셔츠 및 블라우스 제조업,셔츠 및 블라우스
주식회사 루나스코리아,"서울특별시 성동구 연무장길 38, 2층 (성수동2가)",구두류 제조업 외 1 종,구두
주식회사 리얼카라반,"서울특별시 성동구 뚝섬로1길 25, 709호(성수동1가, 서울숲 한라에코밸리) 709호",기타 인쇄업 외 2 종,인쇄물
주식회사 리얼티쓰 팩토리 (RealTeeth Factory),"서울특별시 성동구 성수일로4길 25, 605호 (성수동2가, 서울숲코오롱디지털타워) 605호",정형외과용 및 신체보정용 기기 제조업 외 1 종,치과보철물
주식회사 마치인터내셔널,서울특별시 성동구 뚝섬로1길 25 (성수동1가) 2층 202호,핸드백 및 지갑 제조업,가방 및 핸드백
