순번,회사명,공장대표주소(도로명),업종명,생산품
146,대영공조휠터(주),"서울특별시 중랑구 신내역로3길 40-36, B3층 323호 (신내동, 신내 데시앙플렉스 지식산업센터) B3층 323호 외 1필지",기체 여과기 제조업,공조기용 프리필터
147,대운섬유,"서울특별시 중랑구 동일로95길 16 (면목동, 산중빌딩)",편조원단 제조업,원단
148,대원,"서울특별시 중랑구 봉우재로 234, 2층 (망우동)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
149,대원어패럴,"서울특별시 중랑구 봉우재로70길 5, 2층 (망우동)",셔츠 및 블라우스 제조업 외 1 종,"의류, 티셔츠"
150,대원에프앤드씨,"서울특별시 중랑구 용마산로 490, 5층(망우동, 대아빌딩)",셔츠 및 블라우스 제조업 외 1 종,"의류(트레이닝복, 티셔츠)"
151,대주메디칼,"서울특별시 중랑구 망우로 489, 성암 B/D B 401호 (망우동)",그 외 기타 의료용 기기 제조업,"외과용품,루용낭"
152,대한민국고엽제전우회,"서울특별시 중랑구 신내역로1가길 9-19, 2층 (신내동)",기타 무선 통신장비 제조업 외 4 종,"음향기기,cctv,무대장치,조명기기"
153,대화섬유,서울특별시 중랑구 겸재로 201 (면목동),셔츠 및 블라우스 제조업 외 3 종,티셔츠
154,대흥섬유,서울특별시 중랑구 중랑역로 81 (중화동),편조의복 제조업,니트의복.
155,더엔트라,"서울특별시 중랑구 양원역로 25, 지층(망우동, 해동빌딩)",침구 및 관련제품 제조업,침구류
156,덕수섬유,"서울특별시 중랑구 겸재로27길 57 (면목동, 덕수택시(주))",편조의복 제조업,니트쉐타
157,도쿄베이커리 분점,"서울특별시 중랑구 봉화산로 194, 614호(신내동, 신아타운)",빵류 제조업,팥빵
158,동방캐터링주식회사,"서울특별시 중랑구 용마산로 624, 동방빌딩 (신내동)",도시락류 제조업 외 1 종,"도시락, 음식식자재"
159,동선,"서울특별시 중랑구 동일로130길 28, 지층 (중화동, 유리유치원)","천막, 텐트 및 유사 제품 제조업 외 10 종",의류
160,동영산업,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 8층 817호",기타 직물제품 제조업 외 1 종,"태극기, 깃발, 깃대"
161,동우어패럴,서울특별시 중랑구 봉우재로 12 (면목동),셔츠 및 블라우스 제조업 외 3 종,"잠바,셔츠"
162,동원오비텍(주),"서울특별시 중랑구 신내역로3길 40-36, A동 811호 (신내동) A동 811호 A동 811호",유선 통신장비 제조업 외 1 종,방송음향장비
163,동일기획,"서울특별시 중랑구 동일로140길 12, 2층,3층 (중화동)",간판 및 광고물 제조업,"광고물,인쇄물"
164,동진섬유,서울특별시 중랑구 겸재로 86 (면목동),"근무복, 작업복 및 유사의복 제조업 외 2 종",기성복
165,동현종합건설(주),"서울특별시 중랑구 용마산로 304, 지1층 비101호(면목동)",전시용 모형 제조업,전시용 모형
166,동호실업,서울특별시 중랑구 봉우재로 91 (상봉동),자수제품 및 자수용재료 제조업 외 1 종,자수제품
167,두승산업(주),"서울특별시 중랑구 사가정로46길 23 (면목동, 두승빌딩)",편조의복 제조업,수출용쉐타
168,두영산업사,서울특별시 중랑구 겸재로 218 (면목동),"근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠
169,디도어패럴,"서울특별시 중랑구 용마산로70길 31 (면목동, 용인대석사체육관)",편조의복 제조업,편조외의
170,디스플레이허브주식회사,"서울특별시 중랑구 봉화산로 123, 5층 503호(상봉동, 신내테크노타운) 5층 503호",전시 및 광고용 조명장치 제조업 외 3 종,"안내 전광판, 기상전광판, 교통정보전광판, 영상정보 디스플레이 장치"
171,디엔에이치어패럴(D&H Apparel),"서울특별시 중랑구 동일로 674, 2층 (면목동)","근무복, 작업복 및 유사의복 제조업 외 2 종","근무복, 작업복"
172,디자인이룸,"서울특별시 중랑구 상봉로12길 24, 2층(망우동, 오브제미술학원)",간판 및 광고물 제조업,"간판, 현수막, 시트글자"
173,레츠원 주식회사,"서울특별시 중랑구 신내역로3길 40-36,(신내동) B동동 지상9층층 B-906호",설치용 및 위생용 플라스틱제품 제조업,샤워기
